"cnpj","nome","cidade","estado","produto","valor","data_cadastro"
"62,780,000,102.00","AUTO POSTO PARATI","TRES LAGOAS","MS","Gasolina C Comum","4.436","6/28/2018 17:49"
"62,780,000,102.00","AUTO POSTO PARATI","TRES LAGOAS","MS","Etanol","3.482","6/28/2018 17:49"
"62,780,000,102.00","AUTO POSTO PARATI","TRES LAGOAS","MS","Diesel S500","3.644","6/28/2018 17:49"
"62,780,000,102.00","AUTO POSTO PARATI","TRES LAGOAS","MS","Diesel S10","3.734","6/28/2018 17:49"
"300,357,000,195.00","POSTO E TRANSPORTADORA PEGORARO","COXIM","MS","Gasolina C Comum","4.349","12/9/2018 19:06"
"300,357,000,195.00","POSTO E TRANSPORTADORA PEGORARO","COXIM","MS","Etanol","3.599","12/9/2018 19:06"
"300,357,000,195.00","POSTO E TRANSPORTADORA PEGORARO","COXIM","MS","Diesel S500","3.499","12/9/2018 19:06"
"300,357,000,195.00","POSTO E TRANSPORTADORA PEGORARO","COXIM","MS","Diesel S10","3.599","12/9/2018 19:06"
"360,990,000,179.00","POSTO DOS ANOES LTDA","BRASILIA","DF","Gasolina C Comum","4.289","28/11/2018 09:34"
"360,990,000,179.00","POSTO DOS ANOES LTDA","BRASILIA","DF","Etanol","3.49","28/11/2018 09:34"
"360,990,000,179.00","POSTO DOS ANOES LTDA","BRASILIA","DF","Diesel S10","4.05","28/11/2018 09:34"
"480,284,000,160.00","POSTO CENTRAL","SAO LUIS","MA","Gasolina C Comum","4.169","13/11/2018 15:13"
"480,284,000,160.00","POSTO CENTRAL","SAO LUIS","MA","Diesel S10","3.659","13/11/2018 15:13"
"593,430,000,164.00","AUTO POSTO BRINATI","MACHADINHO D'OESTE","RO","Gasolina C Comum","4.8","7/4/2018 17:51"
"593,430,000,164.00","AUTO POSTO BRINATI","MACHADINHO D'OESTE","RO","Diesel S500","3.78","7/4/2018 17:51"
"593,430,000,245.00","AUTO POSTO BRINATI","MACHADINHO D'OESTE","RO","Gasolina C Comum","4.8","8/6/2018 18:01"
"593,430,000,245.00","AUTO POSTO BRINATI","MACHADINHO D'OESTE","RO","Diesel S500","3.81","8/6/2018 18:01"
"601,701,000,186.00","AUTO POSTO SANTA ROSA","IVINHEMA","MS","Gasolina C Comum","4.49","6/28/2019 16:21"
"601,701,000,186.00","AUTO POSTO SANTA ROSA","IVINHEMA","MS","Etanol","3.29","6/28/2019 16:21"
"601,701,000,186.00","AUTO POSTO SANTA ROSA","IVINHEMA","MS","Diesel S500","3.69","6/28/2019 16:21"
"601,701,000,186.00","AUTO POSTO SANTA ROSA","IVINHEMA","MS","Diesel S10","3.79","6/28/2019 16:21"
"860,197,000,139.00","POSTO NOSSA SENHORA DA CONCEICAO","CAMPO GRANDE","MS","Gasolina C Comum","4.258","21/11/2018 11:42"
"860,197,000,139.00","POSTO NOSSA SENHORA DA CONCEICAO","CAMPO GRANDE","MS","Etanol","3.299","21/11/2018 11:42"
"860,197,000,139.00","POSTO NOSSA SENHORA DA CONCEICAO","CAMPO GRANDE","MS","Diesel S500","3.599","21/11/2018 11:42"
"860,197,000,139.00","POSTO NOSSA SENHORA DA CONCEICAO","CAMPO GRANDE","MS","Diesel S10","3.699","21/11/2018 11:42"
"976,256,000,139.00","CEU 070 COMBUSTIVEIS LTDA","BRASILIA","DF","Gasolina C Comum","4.687","10/9/2018 16:51"
"976,256,000,139.00","CEU 070 COMBUSTIVEIS LTDA","BRASILIA","DF","Diesel S500","3.799","10/9/2018 16:51"
"976,256,000,139.00","CEU 070 COMBUSTIVEIS LTDA","BRASILIA","DF","Diesel S10","3.899","10/9/2018 16:51"
"976,256,000,139.00","CEU 070 COMBUSTIVEIS LTDA","BRASILIA","DF","Etanol","3.299","10/9/2018 16:51"
"1,088,431,000,114.00","POSTO SAMBAREIA","DEMERVAL LOBAO","PI","Gasolina C Comum","4.649","5/27/2019 9:20"
"1,088,431,000,114.00","POSTO SAMBAREIA","DEMERVAL LOBAO","PI","Diesel S500","3.599","5/27/2019 9:20"
"1,088,431,000,114.00","POSTO SAMBAREIA","DEMERVAL LOBAO","PI","Diesel S10","3.649","5/27/2019 9:20"
"1,109,449,000,155.00","RODOCAMP AUTO SERVICE LTDA","CAMPINAS","SP","Gasolina C Comum","4.299","1/23/2019 14:57"
"1,109,449,000,155.00","RODOCAMP AUTO SERVICE LTDA","CAMPINAS","SP","GNV","2.999","2/19/2019 11:52"
"1,109,449,000,155.00","RODOCAMP AUTO SERVICE LTDA","CAMPINAS","SP","Diesel S500","3.599","1/23/2019 14:57"
"1,109,449,000,155.00","RODOCAMP AUTO SERVICE LTDA","CAMPINAS","SP","Diesel S10","3.699","1/23/2019 14:57"
"1,109,449,000,155.00","RODOCAMP AUTO SERVICE LTDA","CAMPINAS","SP","Etanol","2.899","2/19/2019 11:52"
"1,138,114,000,165.00","POSTO JK","CRISTALINA","GO","Gasolina C Comum","4.79","19/11/2019 19:56"
"1,138,114,000,165.00","POSTO JK","CRISTALINA","GO","Etanol","3.17","18/11/2019 12:37"
